0,['自然语言处理及知识图谱工程师（工作地点杭州）' '14k-20k']
1,['自然语言处理及知识图谱研究员（工作地点杭州）' '25k-40k']
2,['NLP算法工程师-知识图谱方向-幸福里' '30k-60k']
3,['知识图谱平台研发工程师' '20k-40k']
4,['算法专家-知识图谱' '35k-65k·16薪']
5,['自然语言处理及知识图谱工程师' '11k-22k·15薪']
6,['NLP 算法工程师（知识图谱方向）(J16552)' '15k-30k']
7,['知识图谱工程师 (MJ000221)' '30k-60k']
8,['知识图谱产品经理（AI方向）' '30k-60k·15薪']
9,['知识图谱类算法工程师' '20k-30k·15薪']
10,['ACG客户成就中心_知识图谱项目经理' '20k-25k']
11,['NLP算法工程师（知识图谱方向）' '30k-40k·13薪']
12,['NLP算法工程师（知识图谱方向）' '30k-40k·13薪']
13,['知识图谱算法助理研究员' '4k-8k']
14,['知识图谱算法工程师' '15k-30k·14薪']
